Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
Altre	212	persone	sono	state	arrestate	,	ha	dichiarato	la	BBC	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
But	I	finally	realized	—	we	saved	the	wrong	Earth	 .																														
O	O	O	O	O	O	O	O	B	I	O																														
Ma	finalmente	capii	-	abbiamo	salvato	la	Terra	sbagliata	.																															
O	O	O	O	O	O	O	B	I	O																															
16	December	1986	-	capacity	increased	to	95'000	places	(	rebaixamento	)	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
16	dicembre	1986	-	Capacità	aumentata	a	95	0	posti	(	rebaixamento	)	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
This	involves	approximately	1.800	Belgian	military	personnel	that	can	be	deployed	on	a	short	-	term	basis	.																							
O	O	O	O	B	I	I	O	O	O	O	O	O	B	I	I	I	O																							
Ciò	implica	circa	1,8	personale	militare	belga	che	può	essere	dispiegato	su	una	base	a	breve	termine	.																							
O	O	O	O	B	I	I	O	O	O	O	O	O	B	I	I	I	O																							
Forgive	me	,	my	dear	one	,	for	writing	such	things	to	you	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Perdonami	,	mio	caro	,	per	aver	scritto	tali	cose	.																														
O	O	O	O	O	O	O	O	O	O	O																														
It	's	our	DNA	.																																				
O	O	O	O	O																																				
È	il	nostro	DNA	.																																				
O	O	O	O	O																																				
Less	than	a	week	later	,	Mike	Bair	,	the	787	program	manager	was	replaced	.																									
O	O	O	O	O	O	B	I	O	O	O	B	I	O	O	O																									
Meno	di	una	settimana	dopo	,	Mike	Bair	,	il	direttore	del	programma	787	,	è	stato	sostituito	.																						
O	O	O	O	O	O	B	I	O	O	B	I	I	O	O	O	O	O	O																						
When	used	in	the	Qur'an	,	it	generally	refers	to	Allah	's	invitation	to	live	according	to	His	will	.																					
O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O																					
Quando	è	usato	nel	Corano	,	in	genere	si	riferisce	a	un	pressante	invito	di	Allah	a	vivere	secondo	la	Sua	volontà	.																		
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O																		
Washington	counseled	the	marquis	to	be	patient	.																																	
O	O	O	O	O	O	O	O																																	
Washington	consigliò	al	marchese	di	essere	paziente	.																																	
O	O	O	O	O	O	O	O																																	
He	offers	one	of	the	men	a	hundred	thousand	rupees	for	not	making	the	porn	video	public	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O	O																							
Offre	ad	uno	uomini	cento	mila	rupie	per	non	rendere	il	video	porno	pubblico	.																										
O	O	O	O	O	O	O	O	O	O	O	B	I	O	O																										
Together	they	call	for	help	but	it	is	only	the	wolves	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Insieme	chiedono	aiuto	,	ma	si	tratta	solo	di	lupi	.																														
O	O	O	O	O	O	O	O	O	O	O																														
The	Satellite	Navigation	Augmentation	System	(	SNAS	)	,	proposed	by	China	.																												
O	B	I	I	I	O	O	O	O	O	O	O	O																												
Si	tratta	del	Satellite	Navigation	Augmentation	System	(	SNAS	)	,	proposto	dalla	Cina	.																										
O	O	O	B	I	I	I	O	O	O	O	O	O	O	O																										
The	P-51	was	faster	than	us	,	but	our	munitions	and	cannons	were	better	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Il	P-51	era	più	veloce	di	noi	,	ma	le	nostre	munizioni	e	i	nostri	cannoni	erano	migliori	.																						
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																						
The	Klingon	people	are	united	.																																			
O	O	O	O	O	O																																			
Il	popolo	klingon	è	unito	.																																			
O	O	O	O	O	O																																			
The	rescued	creature	refers	to	itself	as	Tweel	.																																
O	B	I	O	O	O	O	O	O																																
La	creatura	salvata	si	riferisce	a	sé	stessa	come	Tweel.																															
O	B	I	O	O	O	O	O	O	O																															
It	was	only	through	their	generosity	that	the	Guardians	were	spared	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Fu	solo	grazie	loro	generosità	che	i	Guardiani	furono	risparmiati	.																														
O	O	O	O	O	O	O	O	O	O	O																														
It	's	somewhere	between	The	Basketball	Diaries	and	Native	Son	.																														
O	O	O	O	O	B	I	O	B	I	O																														
È	qualcosa	tra	The	Basketball	Diaries	e	Native	Son	.																															
O	O	O	O	B	I	O	B	I	O																															
According	to	Smith	,	the	senate	had	not	much	confidence	in	his	abilities	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Secondo	William	Smith	,	il	Senato	non	aveva	molta	fiducia	nelle	sue	capacità	.																											
O	B	I	O	O	O	O	O	O	O	O	O	O	O																											
Lead	a	parade	.																																					
O	O	O	O																																					
Guidare	una	parata	.																																					
O	O	O	O																																					
Local	justice	became	more	centralised	.																																			
B	I	O	O	O	O																																			
La	locale	giustizia	divenne	più	centralizzata	.																																		
O	B	I	O	O	O	O																																		
According	to	a	2014	report	titled	Faces	and	Traces	of	a	Leader	.																												
O	O	O	O	O	O	B	I	I	I	I	I	O																												
Secondo	un	rapporto	2014	intitolato	Faces	and	Traces	of	a	Leader	.																													
O	O	O	O	O	B	I	I	I	I	I	O																													
The	video	was	directed	by	Alex/2tone	.																																		
O	O	O	O	O	O	O																																		
Il	video	è	stato	diretto	da	Alex/2tone	.																																	
O	O	O	O	O	O	O	O																																	
Every	nation	has	one	love	that	warms	its	heart	.																															
O	O	O	O	O	O	O	O	O	O																															
Ogni	nazione	ha	un	amore	che	scalda	il	suo	cuore	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Each	was	of	course	illegal	in	the	other	territory	.																															
O	O	O	O	O	O	O	O	O	O																															
Naturalmente	ognuna	era	illegale	nel	l'	altro	territorio	.																																
O	O	O	O	O	O	O	O	O																																
You	can	earn	gold	keys	this	way	.																																	
O	O	O	B	I	O	O	O																																	
Puoi	guadagnare	chiavi	d'	oro	in	questo	modo	.																																
O	O	B	I	I	O	O	O	O																																
Notes	:	†	—	Competitions	were	held	for	only	24	hours	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Notes	:	†	—	Le	competizioni	si	sono	tenute	solo	per	24	ore	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Ibûn	,	the	son	of	Mîm	,	was	one	of	the	last	of	the	Petty	-	dwarves	.																							
O	O	O	B	I	I	O	O	O	O	O	O	O	O	B	I	I	O																							
Ibûn	,	figlio	di	Mîm	,	fu	uno	degli	ultimi	Nanerottoli	.																													
O	O	B	I	I	O	O	O	O	O	O	O																													
Time	freezes	and	UD	gives	Chuck	three	choices	.																																
O	O	O	O	O	O	O	O	O																																
Il	tempo	si	blocca	e	UD	dà	a	Chuck	tre	scelte	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
This	also	meant	that	producers	were	n't	tied	to	artists	anymore	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
E	questo	significa	anche	che	i	produttori	non	erano	più	legati	agli	artisti	.	»																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
The	202	was	inferior	in	speed	and	armament	 .																																
O	O	O	O	O	O	O	O	O																																
Il	202	gli	era	decisamente	inferiore	in	velocità	ed	armamento	 .																														
O	O	O	O	O	O	O	O	O	O	O																														
The	school	has	a	deficit	of	10,4	million	francs	this	year	.																													
O	O	O	O	O	O	O	B	I	O	O	O																													
Quest'	anno	la	scuola	ha	un	deficit	di	10,4	milioni	di	franchi	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
There	is	no	talking	during	sesshin	.																																		
O	O	O	O	O	O	O																																		
Non	si	effettuano	conversazioni	durante	la	sesshin.																																		
O	O	O	O	O	O	O																																		
4	/	The	version	control	system	contains	a	complete	list	of	changes	.																												
O	O	O	O	O	O	O	O	B	I	I	I	O																												
4	/	Il	sistema	di	controllo	versioni	contiene	una	lista	completa	di	cambiamenti	.																											
O	O	O	O	O	O	O	O	O	B	I	I	I	O																											
His	vision	was	to	challenge	the	west	.																																	
O	O	O	O	O	O	O	O																																	
La	sua	visione	era	di	sfidare	l'	Occidente	.																																
O	O	O	O	O	O	O	O	O																																
Your	ears	will	hear	his	words	,	for	you	will	not	be	speaking	from	yourself	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Le	tue	orecchie	udiranno	le	sue	parole	,	poiché	tu	non	parlerai	da	te	stesso	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Their	abode	is	Hell	,	--	an	evil	refuge	indeed	.																														
O	O	O	O	O	O	O	B	I	O	O																														
La 	loro	dimora	è	l'	Inferno	,	--	un	vero	rifugio	malvagio	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
I	was	born	with	a	good	instrument	,	maybe	more	so	than	the	talent	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Sono	nata	con	un	buono	strumento	,	forse	più	che	con	il	talento	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
He	has	also	worked	for	the	Swedish	International	Development	Cooperation	Agency	(	Sida	)	for	over	12	years	,	including	3	years	in	Zambia	.																
O	O	O	O	O	O	B	I	I	I	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O																
Lui	ha	inoltre	lavorato	per	la	Swedish	International	Development	Cooperation	Agency	(	Sida	)	per	oltre	12	anni	,	di	cui	tre	in	Zambia	.																
O	O	O	O	O	O	B	I	I	I	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O																
And	I	banished	every	memory	you	and	I	had	ever	made	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
E	io	ho	bandito	ogni	ricordo	che	tu	ed	io	avessimo	mai	fatto	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Masha	,	locked	in	the	room	,	is	now	an	orphan	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Masha	,	chiusa	in	camera	,	è	ora	un'	orfana	.																														
O	O	O	O	O	O	O	O	O	O	O																														
The	original	address	was	3777	Lapeer	Road	.																																	
O	O	O	O	B	I	I	O																																	
L'	indirizzo	originale	era	3777	Lapeer	Road	.																																	
O	O	O	O	B	I	I	O																																	
This	marinera	is	also	repeated	twice	,	and	then	is	followed	by	a	        fuga           	de	huayno	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																								
Questa	marinera	è	inoltre	ripetuta	due	volte	,	seguita	da	una	        fuga         	di	huayno	.																										
O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																										
But	to	do	what	is	fair	,	you	need	to	know	the	Rules	of	Golf	.																									
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																									
Ma	per	fare	ciò	che	è	giusto	,	hai	bisogno	di	conoscere	le	Regole	del	Golf	 .																								
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																								
(	She	also	works	as	a	production	assistant	at	MuchMusic	.	)																													
O	O	O	O	O	O	B	I	O	O	O	O																													
(	Lei	ha	anche	lavorato	come	assistente	di	produzione	a	MuchMusic.	)																													
O	O	O	O	O	O	B	I	I	O	O	O																													
In	Indonesia	and	Vietnam	,	it	has	a	partnership	with	Astra	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
In	Indonesia	e	Vietnam	,	ha	una	partnership	con	Astra	.																														
O	O	O	O	O	O	O	O	O	O	O																														
They	are	what	most	people	feel	directly	during	an	earthquake	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Esse	sono	ciò	che	la	maggior	parte	gente	sente	direttamente	durante	un	terremoto	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
In	the	Japanese	shamisen	,	the	body	(	sao	)	is	made	of	four	pieces	of	wood	instead	of	one	.																				
O	O	B	I	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O																				
Nello	shamisen	giapponese	,	il	corpo	(	sao	)	è	fatto	di	quattro	pezzi	di	legno	invece	di	uno	.																					
O	B	I	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O																					
On	10	January	,	he	visited	the	consulate	again	,	this	time	with	two	representatives	of	Japanese	pensioners	of	the	US	Navy	who	lived	in	the	area	.													
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O	O	B	I	O	O	O	O	O	O													
Il	10	gennaio	,	lui	visitò	di	nuovo	il	consolato	,	questa	volta	con	due	rappresentanti	dei	pensionati	giapponesi	della	Marina	Americana	che	vivevano	in	zona	.														
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O	B	I	O	O	O	O	O														
The	system	was	developed	for	rural	Colombian	schools	because	they	face	special	circumstances	.																											
O	O	O	O	O	B	I	I	O	O	O	B	I	O																											
Il	sistema	è	stato	sviluppato	per	le	scuole	colombiane	rurali	perché	affrontano	circostanze	speciali	.																										
O	O	O	O	O	O	O	B	I	I	O	O	B	I	O																										
Some	Greek	land	was	public	and	/	or	sacred	.																															
O	B	I	O	O	O	O	O	O	O																															
Alcuni	terreni	greci	erano	pubblici	e	/	o	sacri	.																															
O	B	I	O	O	O	O	O	O	O																															
Why	worry	about	your	white	hair	(	i.e.	,	about	your	age	)	?																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Perché	preoccuparsi	riguardo	i	tuoi	capelli	bianchi	(	cioè	,	riguardo 	la	tua 	età	)	?																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Despite	that	,	her	feelings	for	Shun	remain	strong	.																															
O	O	O	O	O	O	O	O	O	O																															
Nonostante	ciò	,	i	suoi	sentimenti	per	Shun	rimangono	forti	.																														
O	O	O	O	O	O	O	O	O	O	O																														
When	there	is	any	doubt	,	the	Israeli	Chief	Rabbinate	generally	determines	the	issue	.																										
O	O	O	O	O	O	O	B	I	I	O	O	O	O	O																										
Quando	vi	siano	dubbi	,	il	Gran	Rabbinato	di	Israele	generalmente	decide	la	questione	.																										
O	O	O	O	O	O	B	I	I	I	O	O	O	O	O																										
No	reign	is	explicitly	attributed	to	him	here	.																																
O	O	O	O	O	O	O	O	O																																
Nessun	regno	è	esplicitamente	attribuito	a	lui	qui	.																																
O	O	O	O	O	O	O	O	O																																
Oh	,	Samoa	,	hold	fast	your	power	forever	.																															
O	O	O	O	O	O	O	O	O	O																															
Oh	,	Samoa	,	mantieni	forte	il	tuo	potere	per	sempre	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
And	so	,	with	this	new	King	Chimera	,	it	's	a	bit	more	metaphorical	than	that	.																							
O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O																							
E	così	,	con	questo	nuovo	Re	Chimera	,	è	un	po'	più	metaforico	di	questo	.																								
O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O																								
1785	–	Society	's	orchestra	has	25	members	.																																
O	O	B	I	I	O	O	O	O																																
1785	–	l'	orchestra	della	Società	ha	25	membri	.																															
O	O	O	B	I	I	O	O	O	O																															
Of	these	three	,	security	is	almost	always	considered	the	first	priority	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
Di	questi	tre	,	la	sicurezza	è	quasi	sempre	considerata	la	prima	priorità	.																											
O	O	O	O	O	O	O	O	O	O	O	B	I	O																											
Álvares	himself	was	accompanied	by	two	other	Portuguese	mariners	.																															
O	O	O	O	O	O	O	B	I	O																															
Lo	stesso	Álvares	fu	accompagnato	da	due	altri	marinai	portoghesi	.																														
O	O	O	O	O	O	O	O	B	I	O																														
She	is	arrested	by	Chief	Burns	after	this	.																																
O	O	O	O	B	I	O	O	O																																
Lei	viene	arrestata	da	Chief	Burns	dopo	questo	.																																
O	O	O	O	B	I	O	O	O																																
Both	are	completely	under	Russian	control	.																																		
O	O	O	O	B	I	O																																		
Entrambi	sono	completamente	sotto	il	controllo	russo	.																																	
O	O	O	O	O	B	I	O																																	
Therefore	,	the	entire	Wikipedia	content	had	to	be	filtered	.																														
O	O	O	O	B	I	O	O	O	O	O																														
Pertanto	,	l'	intero	contenuto	di	Wikipedia	doveva	essere	filtrato	.																														
O	O	O	O	B	I	I	O	O	O	O																														
Max	Emanuel	was	adopted	in	1968	.																																		
B	I	O	O	O	O	O																																		
Max	Emanuel	fu	adottato	nel	1968	.																																		
B	I	O	O	O	O	O																																		
For	a	new	language	of 	the	reason	.																																	
O	O	O	B	I	I	I	O																																	
Per	un	nuovo	linguaggio	della	ragione	.																																		
O	O	O	B	I	I	O																																		
You	're	the	one	who	defends	Germany	against	its	accusers	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Tu	sei	colui	che	difende	la	Germania	contro	i	suoi	accusatori	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
However	,	the	traditional	kimono	remains	a	major	part	of	the	Japanese	way	of	life	and	will	be	for	a	long	time	.																		
O	O	O	B	I	O	O	O	O	O	O	B	I	I	I	O	O	O	O	O	O	O	O																		
Tuttavia	,	il	kimono	tradizionale	rimane	una	parte	fondamentale	del	modo	giapponese	di	vivere	e	lo	resterà	a	lungo	.																					
O	O	O	B	I	O	O	O	O	O	B	I	I	I	O	O	O	O	O	O																					
Since	2008	,	Antigone	has	been	authorized	to	visit	every	penal	institution	for	Italian	minors	.																									
O	O	O	O	O	O	O	O	O	O	B	I	O	B	I	O																									
Dal	2008	Antigone	è	autorizzata	a	visitare	tutti	gli	istituti	penali	per	minori	italiani	.																										
O	O	O	O	O	O	O	O	O	B	I	O	B	I	O																										
Will	we	see	it	at	the	climate	summit	in	Paris	?																														
O	O	O	O	O	O	B	I	O	O	O																														
Ci	vediamo	al	climate	summit	a	Parigi	?																																	
O	O	O	B	I	O	O	O																																	
It	was	coming	from	a	god	!																																		
O	O	O	O	O	O	O																																		
Essa	è	arrivata	da	un	dio	!																																		
O	O	O	O	O	O	O																																		
You	and	the	girls	could	remain	there	in	quiet	.																															
O	O	O	O	O	O	O	O	O	O																															
Tu	e	le	ragazze	potreste	rimanere	tranquille	la	.																																
O	O	O	O	O	O	O	O	O																																
A	New	World	seen	through	the	man	.																																	
O	B	I	O	O	O	O	O																																	
Un	nuovo	mondo	visto	attraverso	un	uomo	.																																	
O	B	I	O	O	O	O	O																																	
The	H.261	standard	actually	only	specifies	how	to	decode	the	online	video	.																												
O	B	I	O	O	O	O	O	O	O	B	I	O																												
Lo	standard	H.261	effettivamente	specifica	soltanto	come	decodificare	il	video	online	.																													
O	B	I	O	O	O	O	O	O	B	I	O																													
2000	is	the	new	        Hustle            	Mode	.																																		
O	O	O	O	B	I	O																																		
2000	è	la	Nuova	Hustle	Mode	.																																		
O	O	O	O	B	I	O																																		
Orbán	repeatedly	criticized	the	EU	Commission	for	its	improper	delay	.																														
O	O	O	O	B	I	O	O	B	I	O																														
Orbán	ha	ripetutamente	criticato	la	Commissione	UE	per	il	suo	colpevole	ritardo	.																												
O	O	O	O	O	B	I	O	O	O	B	I	O																												
In	April	2015	,	it	was	reported	that	there	were	42	Serbs	currently	serving	in	the	Kosovo	Security	Force	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																					
Nell'	Aprile	del	2015	,	è	stato	riferito	che	vi	erano	42	serbi	attualmente	in	servizio	nella	Forza	di	Sicurezza	di	Kosovo	.																		
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	I	O																		
A	Persian	scholar	commented	,	        Why     	so 	many 	had 	to 	die	or 	suffer	?																											
O	B	I	O	O	O	O	O	O	O	O	O	O	O																											
Uno	studioso	persiano	commentò	,	Perché	cosi	tanti	hanno	dovuto	morire	o	soffrire	?																											
O	B	I	O	O	O	O	O	O	O	O	O	O	O																											
The	concept	is	always	that	a	mountain	or	its	boundary	must	be	defined	clearly	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Il	concetto	è	sempre	che	una	montagna	o	il	suo	confine	devono	essere	chiaramente	definiti	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Australia	has	8.222	islands	within	its	maritime	borders	.																																
O	O	O	O	O	O	B	I	O																																
L'	Australia	ha	8,222	isole	dentro	i	suoi	confini	marittimi	.																														
O	O	O	O	O	O	O	O	B	I	O																														
By	contrast	,	men	spent	23	minutes	providing	physical	care	.																														
O	O	O	O	O	O	O	O	B	I	O																														
Al	contrario	,	gli	uomini	hanno	trascorso	23	minuti	fornendo	assistenza	fisica	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
Goal	:	penetrate	as	deeply	as	possible	into	French	territory	.																														
O	O	O	O	O	O	O	O	B	I	O																														
Scopo	:	penetrare	il	più	profondamente	possibile	in	territorio	francese	.																														
O	O	O	O	O	O	O	O	B	I	O																														
In	one	of	the	letters	he	states	:	The	damage	which	Russia	has	inflicted	on	our	nation	is	disastrous	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
In	una	delle	lettere	afferma	:	il	danno	inflitto	dalla	Russia	alla	nostra	nazione	è	disastroso	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
In	other	words	,	we	shall	probably	have	to	kill	at	least	5	to	10	million	Japanese	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
In	altre	parole	,	dovremo	probabilmente	uccidere	almeno	da	5	a	10	milioni	di	giapponesi	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
You	cancelled	your	words	by	your	deeds	and	your	deeds	by	your	offensive	words	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
Avete	annullato	le	vostre	parole	con	le	vostre	azioni	e	le	vostre	azioni	con	le	vostre	parole	offensive	.																						
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																						
It	had	become	,	officially	at	least	,	a	Christian	army	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Era	diventato	,	almeno	ufficialmente	,	un	esercito	cristiano	.																															
O	O	O	O	O	O	O	B	I	O																															
In	1989	,	50	percent	from	the	company	were	sold	to	Capital	Cities	/	ABC	.																									
O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																									
Nel	1989	,	il	50	percento	della	società	fu	venduto	a	Capital	Cities	/	ABC	.																									
O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																									
Lewis	is	the	only	one	today	who	's	making	courageous	films	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Lewis	è	l'	unico	oggi	a	fare	film	coraggiosi	.																															
O	O	O	O	O	O	O	B	I	O																															
He	was	a	campaigner	for	animal	welfare	,	together	with	his	third	wife	Kay	.																										
O	O	O	B	I	I	I	O	O	O	O	B	I	I	O																										
Era	un	attivista	per	il	benessere	degli	animali	,	insieme	alla	sua	terza	moglie	Kay	.																									
O	O	B	I	I	I	I	I	O	O	O	O	B	I	I	O																									
We	always	liked	her	,	so	we	created	a	television	story	for	her	.																											
O	O	O	O	O	O	O	O	O	B	I	O	O	O																											
Ci	è	sempre	piaciuta	,	quindi	abbiamo	creato	una	storia	televisiva	per	lei	.																											
O	O	O	O	O	O	O	O	O	B	I	O	O	O																											
Abaye	answers	:	every	28	years	.																																		
O	O	O	O	O	O	O																																		
Abbaye	risponde	:	ogni	28	anni	.																																		
O	O	O	O	O	O	O																																		
The	prohibition	of	slavery	is	guaranteed	by	Article	18	.																															
O	B	I	I	O	O	O	B	I	O																															
La	proibizione	della	schiavitù	è	garantita	dall'	Articolo	18	.																															
O	B	I	I	O	O	O	B	I	O																															
Kind	of	a	cross	between	that	and	Hawaii	.																																
O	O	O	O	O	O	O	O	O																																
Una	specie	di	incrocio	tra	questo	e	le	Hawaii	.																															
O	O	O	O	O	O	O	O	O	O																															
Cameron	's	talent	may	just	be	as	big	as	his	wonderful	dreams	.																												
B	I	I	O	O	O	O	O	O	O	B	I	O																												
Il	talento	di	Cameron	può	essere	tanto	grande	quanto	i	suoi	sogni	meravigliosi	.																											
B	I	I	I	O	O	O	O	O	O	O	B	I	O																											
None	of	the	communities	controls	the	main	entrance	.																																
O	O	O	O	O	O	B	I	O																																
Nessuna	comunità	controlla	l'	ingresso	principale	.																																		
O	O	O	O	B	I	O																																		
At	that	time	,	Yao	was	not	with	him	,	but	was	at	Luoyang	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
A	quel	tempo	,	Yao	non	era	con	lui	,	ma	a	Luoyang	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
That	some	students	now	can	enter	Japanese	schools	has	been	your	great	achievement	.																											
O	O	O	O	O	O	B	I	O	O	O	B	I	O																											
Il	fatto	che	ora	alcuni	studenti	possano	entrare	nelle	scuole	giapponesi	è	stato	un	tuo	grande	risultato	.																							
O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	B	I	O																							
Belt	leaves	the	navigation	entirely	in	their	hands	.																																
O	O	O	O	O	O	O	O	O																																
Belt	lascia	la	navigazione	completamente	nelle	loro	mani	.																																
O	O	O	O	O	O	O	O	O																																
Thus	was	born	the	eleven	destined	to	be	remembered	as	the	Grande	Torino	.																											
O	O	O	O	O	O	O	O	O	O	O	B	I	O																											
Così	nasceva	l'	undici	destinato	ad	essere	ricordato	come	il	Grande	Torino	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
And	all	praise	is	due	to	God	,	the	Lord	of	the	Worlds	.																											
O	O	O	O	O	O	O	O	O	B	I	I	I	O																											
Sia	benedetto	Iddio	,	il	Signore	del	Creato	.																																
O	O	O	O	O	B	I	I	O																																
The	Moderns	in	Canada	had	simply	ceased	to	exist	.																															
O	O	O	O	O	O	O	O	O	O																															
I	Moderns	in	Canada	avevano	semplicemente	cessato	di	esistere	.																															
O	O	O	O	O	O	O	O	O	O																															
There	are	eighteen	football	Oscars	.																																			
O	O	O	B	I	O																																			
Sono   	diciotto	gli	Oscar	del	calcio	.																																		
O	O	O	B	I	I	O																																		
You	shall	be	that	recreation	,	Ms.	Domaine	 .																																
O	O	O	O	O	O	B	I	O																																
Lei	sarà	quella	ricreazione	,	Ms.	Domaine	 .																																	
O	O	O	O	O	B	I	O																																	
Half	of	normal	people	have	these	small	aspirations	during	sleep	.																														
O	O	B	I	O	O	B	I	O	O	O																														
La	metà	delle	persone	normali	hanno	queste	piccole	aspirazioni	durante	il	sonno	.																												
O	O	O	B	I	O	O	B	I	O	O	O	O																												
The	new	day	begins	at	this	point	for	almost	all	purposes	.																													
O	B	I	O	O	O	O	O	O	O	O	O																													
Il	nuovo	giorno	inizia	a	questo	punto	per	quasi	tutti	gli	scopi	.																												
O	B	I	O	O	O	O	O	O	O	O	O	O																												
Savage	,	meanwhile	,	found	a	new	manager	.																																
O	O	O	O	O	O	O	O	O																																
Savage	,	nel	frattempo	,	trovò	una	nuova	manager	.																															
O	O	O	O	O	O	O	O	O	O																															
God	willing	,	God	will	come	to	our	help	.																															
B	I	O	B	I	O	O	O	O	O																															
La	vittoria	è	nostra	,	per	volere	di	Allah	.																															
O	O	O	O	O	O	B	I	I	O																															
This	judgment	is	known	in	Cuba	as	 Causa	1	(	Cause	1	)	.																											
O	O	O	O	O	O	O	B	I	O	B	I	O	O																											
Questo	giudizio	è	conosciuto	a	Cuba	come	Causa	1	(	Causa	1	)	.																											
O	O	O	O	O	O	O	B	I	O	B	I	O	O																											
Can	software	engineers	do	better	?																																			
O	B	I	O	O	O																																			
Gli	ingegneri	del	software	possono	fare	di	meglio	?																																
O	B	I	I	O	O	O	O	O																																
Should	the	traditional	Chinese	writing	system	be	simplified	?																																
O	O	B	I	I	I	O	O	O																																
Il	sistema	tradizionale	di	scrittura	cinese	avrebbe	dovuto	essere	semplificato	?																														
O	B	I	I	I	I	O	O	O	O	O																														
It	is	almost	surprising	that	all	Serbian	land	is	not	called	by	the	name	of	Kosovo	.																								
O	O	O	O	O	O	B	I	O	O	O	O	O	B	I	I	O																								
